Date,CDS,US10Y,DXY,RESERVES,ln_DXY,ln_RES,BRUNSON,AGBAL
2015-09-18,265.02,2.13,94.863,118712.0,4.552433745502806,11.684455670685962,0,0
2015-09-25,301.685,2.17,96.269,117931.0,4.567146356283967,11.67785498665461,0,0
2015-10-02,317.865,1.99,95.83,118107.0,4.562575788355671,11.679346272232506,0,0
2015-10-09,268.11,2.12,94.813,117618.0,4.551906530661095,11.67519736395848,0,0
2015-10-16,262.36,2.04,94.54,117469.0,4.5490230253650905,11.673929747969916,0,0
2015-10-23,248.57,2.09,97.127,118476.0,4.57601940049639,11.68246568739945,0,0
2015-10-30,252.6,2.16,96.946,118560.0,4.574154122456902,11.683174440529914,0,0
2015-11-06,247.0,2.34,99.168,119427.0,4.596815381605338,11.690460585030223,0,0
2015-11-13,250.98,2.28,98.998,118742.0,4.595099647910325,11.684708351206481,0,0
2015-11-20,239.14,2.26,99.565,118296.0,4.600810697210639,11.680945237053324,0,0
2015-11-27,267.57,2.22,100.02,118472.0,4.605370165990758,11.682431924717338,0,0
2015-12-04,266.08,2.28,98.354,116090.0,4.588573215080722,11.662121031332081,0,0
2015-12-11,283.145,2.13,97.565,116502.0,4.580518822546962,11.66566371922251,0,0
2015-12-18,263.55,2.19,98.703,113530.0,4.592115341114291,11.639822398158579,0,0
2015-12-25,269.725,2.25,97.847,113251.0,4.583405034199881,11.637361873328372,0,0
2016-01-01,267.515,2.27,98.683,110528.0,4.591912692496168,11.61302416150635,0,0
2016-01-08,296.425,2.13,98.54,112568.0,4.590462557115817,11.631312762468092,0,0
2016-01-15,306.455,2.03,98.956,111381.0,4.59467530689544,11.620712035375936,0,0
2016-01-22,291.165,2.07,99.574,111152.0,4.600901086335884,11.618653912932663,0,0
2016-01-29,273.77,1.94,99.606,111334.0,4.601222403739994,11.620289971296751,0,0
2016-02-05,284.33,1.86,97.031,111714.0,4.575030515075,11.623697312924108,0,0
2016-02-12,301.1799999999999,1.74,95.94,111907.0,4.563722996073918,11.625423448196921,0,0
2016-02-19,303.18,1.76,96.6,110872.0,4.570578741218473,11.61613166174864,0,0
2016-02-26,300.775,1.76,98.148,110838.0,4.5864765435408374,11.615824954786692,0,0
2016-03-04,275.22,1.88,97.34,112073.0,4.5782100044053085,11.626905723671461,0,0
2016-03-11,254.62,1.98,96.172,114792.0,4.566138255014333,11.650877074028243,0,0
2016-03-18,239.175,1.88,95.086,114430.0,4.554781745254863,11.64771856131176,0,0
